source,target,weight
ACL,DCM,0.6940664777606105
ACL,DGC,0.6840815338485929
ACL,DGW,0.6906388535242843
ACL,DHA,0.7189125697644558
ACL,DIG,0.7216013134695173
ACL,DPG,0.6832530591145607
ACL,DPM,0.7110092399244015
ACL,DQC,0.7235435659126707
ACL,DSC,0.6520927143980916
ACL,DXG,0.7065075074020802
ACL,FCN,0.7248123878635216
ACL,FIT,0.7145517577096802
ACL,FMC,0.6779607974669182
ACL,FRT,0.7540994860166212
ACL,FTS,0.6526578886832192
ACL,G36,0.6790570156297161
ACL,GEX,0.6799675067866315
ACL,HAG,0.6533944061808231
ACL,HAH,0.702257801656485
ACL,HC1,-0.6545834972976091
ACL,HCM,0.6740404142648292
ACL,HDC,0.722168875889905
ACL,HLD,0.6877440688405103
ACL,HPG,0.661052449352521
ACL,HQC,0.7121185962518665
ACL,HSG,0.6947240039045572
ACL,HT1,0.6638415910205057
ACL,HUB,0.6551003157653923
ACL,HUT,0.7352493964333382
ACL,IDC,0.7487233303363979
ACL,IDI,0.7595106957110547
ACL,IN4,-0.6646165959395027
ACL,ITA,0.6919990271730851
ACL,KDM,0.7072512233231468
ACL,KSB,0.6555216710398176
ACL,L14,0.650861428757404
ACL,LCG,0.721881198414828
ACL,LDG,0.6539938063657692
ACL,LGL,0.6606880458076887
ACL,NHH,0.6582070444039451
ACL,NKG,0.7214311133713702
ACL,NT2,0.7018566044591368
ACL,OCH,0.6960600379970494
ACL,OGC,0.7140472799457516
ACL,PAT,0.6866840593087058
ACL,PC1,0.7228577517269401
ACL,PET,0.6961564382323021
ACL,PVC,0.6982091971330545
ACL,PVD,0.7169028072331335
ACL,PVG,0.6619958970608799
ACL,PVS,0.6564285548805777
ACL,PVT,0.6560493718823288
ACL,SCR,0.7180823505674742
ACL,SKG,0.726481182709173
ACL,SSI,0.6920279466359922
ACL,SZC,0.691019289985971
ACL,THD,0.6634242114170382
ACL,TSC,0.7576758828345218
ACL,TTF,0.7218787075699084
ACL,VCG,0.669568045547931
ACL,VCI,0.6835674609934586
ACL,VGC,0.7257148624517321
ACL,VHC,0.7141227472361313
ACL,VIB,0.6519132330586925
ACL,VIX,0.6719879172192744
ACL,VND,0.6734198382775736
ACM,BBH,0.6627637672801849
ACM,BGW,0.6822317759423493
ACM,BHG,0.7351447389763379
ACM,BSD,0.6651858261090803
ACM,CCP,0.6867993925826856
ACM,CTA,0.7775689689513638
ACM,CYC,0.6824192311085723
ACM,DAH,-0.6605289676727747
ACM,DCT,0.6613582156889142
ACM,DDH,0.6894585935412325
ACM,DLR,0.7767974935693902
ACM,DNM,0.7749535591562325
ACM,DSD,0.670690364919786
ACM,DTE,0.839119062481843
ACM,DUS,0.8109536357945357
ACM,DVW,0.8005831514458944
ACM,DXL,0.7440336842814181
ACM,DZM,0.6539846251900503
ACM,FBC,0.7263697040503494
ACM,FGL,0.7911708762555785
ACM,FHN,0.7529942107924905
ACM,FTI,0.8253234064147633
ACM,FTM,0.7525180838425817
ACM,GH3,0.7476970008572171
ACM,GMA,0.6512125569760435
ACM,GND,0.736639730137184
ACM,HC1,0.7382992051049928
ACM,HLA,0.6567588948890215
ACM,HLS,0.6967401440893856
ACM,HNP,0.7199112625143065
ACM,IBD,0.7018854150922285
ACM,IME,0.7330072427175041
ACM,IN4,0.6924572432587657
ACM,KMR,-0.6644700645043324
ACM,LCC,0.6791526341832538
ACM,LQN,0.6671860446933123
ACM,MGR,0.6558971171719873
ACM,MPY,0.6693854042369104
ACM,MRF,0.6805816471144919
ACM,MTB,0.6509638536575042
ACM,NAC,0.6530268193665292
ACM,ODE,-0.7028982891658173
ACM,PHH,0.7924145343843859
ACM,PPI,0.7199109340023724
ACM,PPT,-0.7597025697238016
ACM,PSG,0.6689010303888234
ACM,RBC,0.7209402829027663
ACM,SAL,0.8510160209538493
ACM,SCD,0.7292012595566537
ACM,SPH,0.7834060925183319
ACM,SSF,0.805940922683668
ACM,STS,0.6890384121941385
ACM,TBR,0.6521012652990178
ACM,TCJ,0.805665184230901
ACM,THN,0.6718404398546747
ACM,TRT,0.6840063306929165
ACM,TST,0.7013845897105175
ACM,TVH,0.8138905241151598
ACM,UMC,0.7728280053882113
ACM,VCT,0.7119794959672364
ACM,VMT,0.6716921833017429
ACM,VTG,0.7092828946844382
ACM,VTI,0.7472400537049171
ACM,VVN,0.6684732684356135
ACM,VXB,0.7811098255058335
ACM,VXP,0.7205284443564736
ACM,XHC,0.6590997486660823
ACS,GMA,0.6655583377247842
ACS,POB,0.6753898824235747
ACV,FOX,0.6792647862837764
ACV,VEA,0.6947217385920079
ADC,DDH,-0.675990685490622
ADC,FRM,-0.6981499849167635
ADC,GH3,-0.6752341802057932
ADC,VMT,-0.7094811132678137
ADG,AG1,0.6707668996484994
ADP,BMF,0.6568933227487415
ADP,BTU,0.6953022415551043
ADP,CCM,0.6973533307405185
ADP,CKD,0.6779697048905333
ADP,CX8,0.676708674159527
ADP,DAC,-0.6792787041260047
ADP,DFC,0.716102453252594
ADP,FIC,0.6734167720955689
ADP,HAN,0.6706390541294164
ADP,HEP,0.6881332512067004
ADP,HPD,0.777858781086814
ADP,HSP,0.7150971509392398
ADP,KTS,0.713564249403912
ADP,LAF,0.7131352954586464
ADP,PCE,0.7501320433578219
ADP,TDS,0.6638378867026057
ADP,TUG,0.6723638779598132
ADP,VE4,-0.6819048726985244
ADP,VSM,0.6654978317994371
ADP,VTZ,0.6731743819456815
ADS,BSI,0.6623324198720366
ADS,CKG,0.6524541719868842
ADS,CTS,0.6564138604795043
ADS,DBC,0.7225572067257636
ADS,DTD,0.6810924833744254
ADS,FTS,0.6509028560444962
ADS,GIL,0.6739370760717023
ADS,HCM,0.6763523277435816
ADS,HPG,0.6601574517015908
ADS,HSG,0.7305481916420482
ADS,KSB,0.6507891202538437
ADS,LHG,0.6546243833349245
ADS,LSS,0.658916856394359
ADS,MBS,0.6806880038278336
ADS,NHA,0.6676964528498767
ADS,NKG,0.6730296613905195
ADS,SBT,0.6603204976604446
ADS,SZC,0.6919780853546681
ADS,TLH,0.6504255132152947
ADS,VCI,0.6892606800976592
ADS,VLB,0.690227752649561
AGM,BCB,0.6634580740550847
AGM,BCR,0.7433078011026238
AGM,BHH,0.6673023694291923
AGM,DKG,0.733519987762182
AGM,DVT,0.6513163264439654
AGM,HMD,0.7195570738011262
AGM,IRC,0.7391084452610257
AGM,LDW,0.7601932560589929
AGM,LNC,0.7709472614228992
AGM,MQB,0.8129807030518992
AGM,PCG,0.667979155106084
AGM,TAB,0.7964723372724227
AGM,TCK,0.7475721182992368
AGM,VMK,0.6731962876539076
AGR,ANV,0.7325821499604716
AGR,APS,0.6791644669738066
AGR,ASM,0.744936259885113
AGR,BKG,0.6577385717973011
AGR,BMI,0.6539276924405324
AGR,BMS,0.765350315020831
AGR,BSI,0.8669981234901089
AGR,BVS,0.7979484669707909
AGR,C4G,0.6838907827282783
AGR,CMX,0.6665590628077117
AGR,CTG,0.6542685315028001
AGR,CTS,0.8966175965282754
AGR,DBC,0.6833654710220506
AGR,DCM,0.6679458440828818
AGR,DGW,0.7306770067992407
AGR,DIG,0.66794994848981
AGR,DPG,0.7173238144698714
AGR,DTD,0.6584380474562216
AGR,DXG,0.7307157070711013
AGR,DXS,0.6940573747201982
AGR,ELC,0.6680102693268078
AGR,EVS,0.6750237989861034
AGR,FCN,0.7162851958080365
AGR,FIT,0.6966414413560041
AGR,FTS,0.8218732725739757
AGR,GIL,0.692627405288876
AGR,GVR,0.6750957368771335
AGR,HCM,0.8484235967226723
AGR,HDC,0.7128097371078572
AGR,HDG,0.6727885635744971
AGR,HHV,0.6948648667607968
AGR,HPG,0.7036981482921728
AGR,HSG,0.740274295523805
AGR,IDC,0.6627126166618541
AGR,IDI,0.6590980739479957
AGR,IJC,0.7864878575228066
AGR,IPA,0.7231343695815073
AGR,IVS,0.7501783892294627
AGR,KBC,0.7365100987108796
AGR,KSB,0.6999089581336939
AGR,LCG,0.7649980559314011
AGR,LHG,0.6798291168017203
AGR,LPB,0.7517422370633896
AGR,LSS,0.6657809186514707
AGR,MBB,0.6795610794824348
AGR,MBS,0.8472790770581557
AGR,MSB,0.7190757650181743
AGR,MWG,0.6730260506877495
